BKT,BRT_RBT,Non_Trout
11.7,16.9,12.9
13.9,13.1,10.6
12.2,13.4,15.9
15.9,16.6,14.6
15.7,18.9,10.9
12.4,11.8,14.2
11.2,16.2,15.3
13.1,13.6,19.7
15.4,14.3,21.7
10.5,16,15
14.8,12.2,14.3
15.7,13.5,16.1
15.6,14.7,15.6
14.9,13.5,17.6
,13.4,17.7
,17.1,20
,13.4,15.7
,23.2,14.5
,14.3,14.6
,18,18.1
,13.9,17.5
,14.9,13.1
,21.2,25.7
,17.9,12.5
,14.2,15.4
,16,19.2
,19.6,20
,16.7,18.3
,16,17.7
,11.5,12.7
,12.5,19.6
,16.9,19
,13.9,16.9
,22.2,17.1
,,15.3
,,16.3
,,12.2
,,16
